fecha,nombre,area,circuito,estructura,lat,long,observaciones,apoyoTipo,apoyoCantidad,configuracion,disposicion,altura,característicasPlaca,avifauna,avifaunaEquipos,crucetaSup,crucetaInf,bayonetaTipo,bayonetaObservaciones,templeteCant,templeteAvifauna,aisladorTipo,aisladorA,aisladorB,aisladorC,dpsA,dpsB,dpsC,seccionador,equiposAdicionales,sptBajante,sptConexion,sptCantidad,sptEstado,"fotoPath,,,,,,",fotoPath_limpio,LATITUD NUEVO,LONGITUD NUEVO,CIRCUITO,Estructura,Nombre Imagen,Termografia,Imagen normal
5/28/2025 12:33,,kitaro,pórticokitaro,NAN,4.3417068,-72.7465409,,P,,Retención,Canadiense,,,No,,,,Sencilla,,,,Aislador,,,,,,,No,,,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_123354_3478051974247572647.jpg,,,,,,",JPEG_20250528_123354_3478051974247572647.jpg,4.3417068,-72.7465409,,,,,
5/28/2025 12:45,,kitaro,kitaro-ponyo,P-01B,4.3417068,-72.7465409,conexión pórtico ,P,1.0,Retención,Triangular,14.0,420.0,Sí,aisladores y 1 puente medio,1.0,1,Doble,,1.0,1.0,Cadenas de aisladores,1.0,1.0,1.0,,,,Sí,linepost,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_124837_6363001702591021817.jpg,,,,,,",JPEG_20250528_124837_6363001702591021817.jpg,4.3425624,-72.71524531,PONYO-KITARO,P-01B,Kitaro - Ponyo,image1.png,image2.png
5/28/2025 14:28,,akira,kitaro-akira,P-01C,4.3413863,-72.715766,"conexión pórtico y cruceta red Akira  estructura retención y derivación a pórtico , con cadenas de aisladores y aisladores de campana ",P,1.0,Retención,Canadiense,14.0,1050.0,Sí,grapas,1.0,1,Doble,,,,Otro,,,,,,,No,linepost ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_143230_1625826464926257976.jpg,,,,,",JPEG_20250528_143230_1625826464926257976.jpg,4.3413863,-72.715766,,P-01C,Kitaro - Akira Norte,image21.png,image22.png
5/28/2025 15:47,,bacano,bacano-r4,P-02,4.3582139,-72.7586694,"Terminal con seccionadores monopolares y subterraniza, aisladores sobre una cruceta ",P,1.0,Otro,Triangular,14.0,1050.0,Sí,grapas y dps,1.0,2,Doble,,1.0,1.0,Cadenas de aisladores,,,,1.0,1.0,1.0,Sí,seccionadores monopolares ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_161922_4843802967979060729.jpg,,,,,",JPEG_20250528_161922_4843802967979060729.jpg,4.358084017,-72.75872792,BACANO-R4,P-02,Bacano - R4,image37.png,image38.png
5/28/2025 13:02,,kitaro,kitaro-akiranorte,P-02A,4.3413863,-72.715766,derivación con cruceta superior más larga,P,1.0,Retención,Otro,,,Sí,grapas pistola,1.0,1,Doble,cambiar por pullover,3.0,,Cadenas de aisladores,,,,,,,No,linepost,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_130806_4610662669972760949.jpg,,,,,,",JPEG_20250528_130806_4610662669972760949.jpg,4.341390911,-72.71489951,KITARO-AKIRAN,P-02A,Kitaro - Akira Norte,image3.png,image4.png
5/28/2025 12:55,kitaro,kitaro,kitaro-ponyo,P-02B,4.3417068,-72.7465409,doble cruceta para derivar,P,1.0,Retención,Otro,,,Sí,grapas,2.0,1,Doble,cruceta superior sin uso ,2.0,,Cadenas de aisladores,,,,,,,No,linepost,1.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_130232_888266786248999095.jpg,,,,,,",JPEG_20250528_130232_888266786248999095.jpg,4.341386459,-72.71498858,PONYO-KITARO,,,,
5/28/2025 14:42,,akira,akira-akiranoreste,P-02C,4.3413863,-72.715766,"poste con dos seccionadores monopolares, 1 reconectador, aisladores de 8 campanas. cinco niveles de crucetas para aisladores y equipos ",P,1.0,Otro,Otro,14.0,,Sí,grapas y crucetas,4.0,1,Doble,,1.0,1.0,Aislador,,,,1.0,1.0,1.0,Sí,linepost,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_144607_7378717099806727679.jpg,,,,",JPEG_20250528_144607_7378717099806727679.jpg,4.3413863,-72.715766,,P-02C,Akira Norte - Akira NE,image23.png,image24.png
5/28/2025 16:19,,bacano,bacano-r4,P-03,4.3582139,-72.7586694,Cruceta superior con un aislador en suspensión sin uso evidentemente ,P,1.0,Otro,Semibandera,,,Sí,aisladores y linepost,1.0,1,Sencilla,1,,,Pin,1.0,1.0,1.0,,,,No,1 línea post y 1 cadena en suspensión ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_162408_760935741705181431.jpg,,,,,,",JPEG_20250528_162408_760935741705181431.jpg,4.358022315,-72.7578173,BACANO-R4,P-03,Bacano - R4,image39.png,image40.png
5/28/2025 13:14,,kitaro,kitaro-akira,P-03A,4.3413863,-72.715766,estructura paso - usar suspensión ,P,1.0,Otro,Semibandera,,,Sí,dps _ aisladores,1.0,1,Sencilla,crucetas horizontales,,,Pin,,,,1.0,1.0,1.0,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_131821_1178555729178656156.jpg,,,,,,",JPEG_20250528_131821_1178555729178656156.jpg,4.341396299,-72.71427608,KITARO-AKIRAN,,,,
5/29/2025 8:10,,kitaro,kitaro-ponyo,P-03B,4.3413316,-72.7162554,Estructura de paso con doble aislador por fase,P,1.0,Otro,Semibandera,14.0,1050.0,Sí,aisladores,1.0,,Doble,,1.0,1.0,Aislador,2.0,2.0,2.0,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250529_081505_1173758018372641748.jpg,,,,,,",JPEG_20250529_081505_1173758018372641748.jpg,4.341017548,-72.71581023,PONYO-KITARO,P-03B,Kitaro - Ponyo,image61.png,image62.png
5/28/2025 14:46,,akira,akira-akiranoreste,P-03C,4.3480483,-72.7130503,suspensión canadiense ,P,1.0,Suspensión,Canadiense,14.0,1050.0,No,,1.0,r,Sencilla,,,,Aislador,,,,,,,No,,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_144815_2514008042753954794.jpg,,,,,,",JPEG_20250528_144815_2514008042753954794.jpg,4.3480483,-72.7130503,,P-03C,Akira Norte - Akira NE,image25.png,image26.png
5/28/2025 16:24,,bacano,bacano-r4,P-04,4.3582139,-72.7586694,"Estructura de paso con doble aislador, Cruceta superior con cadena de aisladores en suspensión, sin uso evidente",P,1.0,Otro,Semibandera,14.0,1050.0,Sí,aisladores y linepost,1.0,1,Sencilla,,,,Pin,2.0,2.0,2.0,,,,No,1 linepost ,2.0,,,,"/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_162850_8679471016818546172.jpg,,,,",JPEG_20250528_162850_8679471016818546172.jpg,4.357967806,-72.75700489,BACANO-R4,P-04,Bacano - R4,image41.png,image42.png
